month,account_id,client_id,client_name,advisor_name,region,segment,account_type,account_open_date,beginning_value,contributions,withdrawals,net_flow,market_gain_loss,ending_value,account_return,benchmark_return,is_closed
2024-09-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4116377.54,6257.44,0.0,6257.44,111371.91,4234006.89,0.027056,0.021,0
2024-10-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4234006.89,5309.33,106398.28,-101088.95,42134.6,4175052.54,0.009951,0.014,0
2024-11-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4175052.54,0.0,0.0,0.0,-42122.87,4132929.67,-0.010089,-0.008,0
2024-12-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4132929.67,15116.23,0.0,15116.23,133886.5,4281932.4,0.032395,0.031,0
2025-01-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4281932.4,7195.97,0.0,7195.97,74998.93,4364127.3,0.017515,0.012,0
2025-02-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4364127.3,12110.31,0.0,12110.31,-88838.34,4287399.27,-0.020356,-0.024,0
2025-03-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4287399.27,13835.64,0.0,13835.64,38941.03,4340175.94,0.009083,0.018,0
2025-04-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4340175.94,0.0,0.0,0.0,139020.85,4479196.79,0.032031,0.026,0
2025-05-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4479196.79,7715.06,0.0,7715.06,22213.4,4509125.25,0.004959,0.007,0
2025-06-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4509125.25,0.0,93129.69,-93129.69,-205587.53,4210408.03,-0.045594,-0.041,0
2025-07-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4210408.03,13563.82,0.0,13563.82,28436.78,4252408.63,0.006754,0.009,0
2025-08-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4252408.63,0.0,0.0,0.0,141939.46,4394348.09,0.033379,0.033,0
2025-09-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4394348.09,0.0,0.0,0.0,79376.87,4473724.96,0.018063,0.015,0
2025-10-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4473724.96,1554.5,26866.44,-25311.94,94210.96,4542623.98,0.021059,0.022,0
2025-11-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4542623.98,0.0,88215.97,-88215.97,-49413.32,4404994.69,-0.010878,-0.013,0
2025-12-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4404994.69,5158.63,0.0,5158.63,86719.08,4496872.4,0.019687,0.028,0
2026-01-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4496872.4,0.0,50798.45,-50798.45,16777.28,4462851.23,0.003731,0.011,0
2026-02-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4462851.23,7836.36,110781.52,-102945.16,44462.1,4404368.17,0.009963,0.019,0
2026-03-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4404368.17,21226.3,0.0,21226.3,-48988.88,4376605.59,-0.011123,-0.006,0
2026-04-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4376605.59,0.0,0.0,0.0,59079.01,4435684.6,0.013499,0.024,0
2026-05-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4435684.6,11360.11,0.0,11360.11,73582.56,4520627.27,0.016589,0.016,0
2026-06-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4520627.27,0.0,0.0,0.0,57933.1,4578560.37,0.012815,0.008,0
2026-07-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4578560.37,0.0,0.0,0.0,84650.55,4663210.92,0.018488,0.03,0
2026-08-01,A00001,C0001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,2022-07-14,4663210.92,0.0,0.0,0.0,81450.0,4744660.92,0.017467,0.013,0
2024-09-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,68510.38,0.0,0.0,0.0,2038.53,70548.91,0.029755,0.021,0
2024-10-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,70548.91,1473.78,1063.69,410.09,1266.77,72225.77,0.017956,0.014,0
2024-11-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,72225.77,0.0,0.0,0.0,-150.79,72074.98,-0.002088,-0.008,0
2024-12-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,72074.98,1973.42,0.0,1973.42,2483.54,76531.94,0.034458,0.031,0
2025-01-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,76531.94,0.0,0.0,0.0,1714.92,78246.86,0.022408,0.012,0
2025-02-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,78246.86,1235.87,538.23,697.64,-1562.14,77382.36,-0.019964,-0.024,0
2025-03-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,77382.36,3245.96,0.0,3245.96,1856.66,82484.98,0.023993,0.018,0
2025-04-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,82484.98,0.0,0.0,0.0,2430.41,84915.39,0.029465,0.026,0
2025-05-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,84915.39,0.0,0.0,0.0,852.83,85768.22,0.010043,0.007,0
2025-06-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,85768.22,0.0,0.0,0.0,-3128.98,82639.24,-0.036482,-0.041,0
2025-07-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,82639.24,0.0,0.0,0.0,1096.89,83736.13,0.013273,0.009,0
2025-08-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,83736.13,0.0,0.0,0.0,2900.63,86636.76,0.03464,0.033,0
2025-09-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,86636.76,0.0,0.0,0.0,1328.9,87965.66,0.015339,0.015,0
2025-10-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,87965.66,0.0,0.0,0.0,2137.4,90103.06,0.024298,0.022,0
2025-11-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,90103.06,1985.98,0.0,1985.98,-1103.81,90985.23,-0.01225,-0.013,0
2025-12-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,90985.23,452.85,0.0,452.85,2682.16,94120.24,0.029479,0.028,0
2026-01-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,94120.24,0.0,0.0,0.0,1094.87,95215.11,0.011633,0.011,0
2026-02-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,95215.11,1554.26,0.0,1554.26,2640.47,99409.84,0.027732,0.019,0
2026-03-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,99409.84,0.0,0.0,0.0,-524.14,98885.7,-0.005273,-0.006,0
2026-04-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,98885.7,0.0,0.0,0.0,1959.96,100845.66,0.01982,0.024,0
2026-05-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,100845.66,1640.73,0.0,1640.73,2425.3,104911.69,0.02405,0.016,0
2026-06-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,104911.69,335.31,0.0,335.31,650.14,105897.14,0.006197,0.008,0
2026-07-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,105897.14,0.0,0.0,0.0,3239.29,109136.43,0.030589,0.03,0
2026-08-01,A00002,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,2021-03-21,109136.43,0.0,0.0,0.0,1768.06,110904.49,0.0162,0.013,0
2024-09-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,31936.7,0.0,0.0,0.0,862.29,32798.99,0.027,0.021,0
2024-10-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,32798.99,0.0,0.0,0.0,150.27,32949.26,0.004581,0.014,0
2024-11-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,32949.26,1475.01,1183.56,291.45,-395.84,32844.87,-0.012014,-0.008,0
2024-12-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,32844.87,1174.3,756.19,418.11,951.94,34214.92,0.028983,0.031,0
2025-01-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,34214.92,0.0,0.0,0.0,578.45,34793.37,0.016906,0.012,0
2025-02-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,34793.37,0.0,0.0,0.0,-1029.95,33763.42,-0.029602,-0.024,0
2025-03-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,33763.42,824.94,0.0,824.94,387.84,34976.2,0.011487,0.018,0
2025-04-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,34976.2,0.0,0.0,0.0,836.08,35812.28,0.023904,0.026,0
2025-05-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,35812.28,0.0,0.0,0.0,196.94,36009.22,0.005499,0.007,0
2025-06-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,36009.22,1946.72,661.12,1285.6,-1182.48,36112.34,-0.032838,-0.041,0
2025-07-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,36112.34,1375.59,1011.36,364.23,388.05,36864.62,0.010746,0.009,0
2025-08-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,36864.62,0.0,0.0,0.0,1377.52,38242.14,0.037367,0.033,0
2025-09-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,38242.14,0.0,0.0,0.0,450.58,38692.72,0.011782,0.015,0
2025-10-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,38692.72,1826.65,0.0,1826.65,748.39,41267.76,0.019342,0.022,0
2025-11-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,41267.76,0.0,0.0,0.0,-173.21,41094.55,-0.004197,-0.013,0
2025-12-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,41094.55,1681.56,0.0,1681.56,1121.38,43897.49,0.027288,0.028,0
2026-01-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,43897.49,2301.11,0.0,2301.11,468.67,46667.27,0.010676,0.011,0
2026-02-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,46667.27,0.0,0.0,0.0,470.63,47137.9,0.010085,0.019,0
2026-03-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,47137.9,459.72,0.0,459.72,-456.03,47141.59,-0.009674,-0.006,0
2026-04-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,47141.59,2518.46,0.0,2518.46,967.41,50627.46,0.020521,0.024,0
2026-05-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,50627.46,0.0,0.0,0.0,380.14,51007.6,0.007509,0.016,0
2026-06-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,51007.6,0.0,0.0,0.0,635.4,51643.0,0.012457,0.008,0
2026-07-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,51643.0,0.0,0.0,0.0,1454.9,53097.9,0.028172,0.03,0
2026-08-01,A00003,C0002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,2022-02-14,53097.9,0.0,0.0,0.0,671.17,53769.07,0.01264,0.013,0
2024-09-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1371880.35,12962.1,28939.08,-15976.98,21392.52,1377295.89,0.015594,0.021,0
2024-10-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1377295.89,8169.96,0.0,8169.96,19041.75,1404507.6,0.013825,0.014,0
2024-11-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1404507.6,14109.27,0.0,14109.27,3236.69,1421853.56,0.002305,-0.008,0
2024-12-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1421853.56,15561.72,0.0,15561.72,53338.47,1490753.75,0.037513,0.031,0
2025-01-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1490753.75,0.0,0.0,0.0,22556.35,1513310.1,0.015131,0.012,0
2025-02-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1513310.1,8454.95,0.0,8454.95,-28678.93,1493086.12,-0.018951,-0.024,0
2025-03-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1493086.12,0.0,0.0,0.0,12200.64,1505286.76,0.008171,0.018,0
2025-04-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1505286.76,0.0,0.0,0.0,34264.1,1539550.86,0.022763,0.026,0
2025-05-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1539550.86,0.0,30098.0,-30098.0,9581.51,1519034.37,0.006224,0.007,0
2025-06-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1519034.37,0.0,0.0,0.0,-50557.9,1468476.47,-0.033283,-0.041,0
2025-07-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1468476.47,0.0,0.0,0.0,17000.72,1485477.19,0.011577,0.009,0
2025-08-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1485477.19,0.0,0.0,0.0,54812.48,1540289.67,0.036899,0.033,0
2025-09-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1540289.67,0.0,0.0,0.0,15827.42,1556117.09,0.010276,0.015,0
2025-10-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1556117.09,14101.75,0.0,14101.75,27351.11,1597569.95,0.017577,0.022,0
2025-11-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1597569.95,0.0,0.0,0.0,-24143.26,1573426.69,-0.015112,-0.013,0
2025-12-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1573426.69,7682.95,0.0,7682.95,50644.92,1631754.56,0.032188,0.028,0
2026-01-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1631754.56,0.0,0.0,0.0,16528.09,1648282.65,0.010129,0.011,0
2026-02-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1648282.65,0.0,0.0,0.0,51593.8,1699876.45,0.031302,0.019,0
2026-03-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1699876.45,0.0,0.0,0.0,-22301.39,1677575.06,-0.013119,-0.006,0
2026-04-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1677575.06,22789.45,8833.53,13955.92,36815.15,1728346.13,0.021945,0.024,0
2026-05-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1728346.13,3770.52,0.0,3770.52,31520.99,1763637.64,0.018238,0.016,0
2026-06-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1763637.64,0.0,14052.91,-14052.91,6789.56,1756374.29,0.00385,0.008,0
2026-07-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1756374.29,0.0,0.0,0.0,56576.61,1812950.9,0.032212,0.03,0
2026-08-01,A00004,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,2015-02-21,1812950.9,0.0,0.0,0.0,24270.87,1837221.77,0.013387,0.013,0
2024-09-01,A00005,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,2023-05-10,490783.36,6302.93,0.0,6302.93,13921.18,511007.47,0.028365,0.021,0
2024-10-01,A00005,C0003,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,2023-05-10,511007.47,13421.79,0.0,13421.79,4591.73,529020.99,0.008986,0.014,0
