account_id,client_name,advisor_name,region,segment,account_type,asset_class,allocation_pct,market_value
A00001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,US Equity,0.4186,1986147.86
A00001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,International Equity,0.1569,744526.73
A00001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,Fixed Income,0.2477,1175428.49
A00001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,Cash & Equivalents,0.0994,471382.34
A00001,Joshua Rasmussen,Rowan Blackwell,Southeast,High Net Worth,Taxable Brokerage,Alternatives,0.0774,367175.5
A00002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,US Equity,0.4076,45208.81
A00002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,International Equity,0.2081,23081.85
A00002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,Fixed Income,0.271,30049.66
A00002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,Cash & Equivalents,0.1043,11565.76
A00002,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,Roth IRA,Alternatives,0.009,998.42
A00003,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,US Equity,0.418,22474.19
A00003,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,International Equity,0.1747,9393.2
A00003,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,Fixed Income,0.2976,16000.98
A00003,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,Cash & Equivalents,0.0718,3858.14
A00003,Kevin Tavares,Elise Fontaine,Southeast,Mass Affluent,401(k) Rollover,Alternatives,0.038,2042.55
A00004,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,US Equity,0.4591,843471.23
A00004,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,International Equity,0.2067,379765.65
A00004,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,Fixed Income,0.2015,370188.63
A00004,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,Cash & Equivalents,0.0105,19350.89
A00004,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Traditional IRA,Alternatives,0.1222,224445.36
A00005,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,US Equity,0.4611,347131.04
A00005,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,International Equity,0.1832,137881.65
A00005,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,Fixed Income,0.2733,205743.22
A00005,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,Cash & Equivalents,0.0102,7687.63
A00005,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Roth IRA,Alternatives,0.0722,54332.69
A00006,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Trust,US Equity,0.4312,373396.65
A00006,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Trust,International Equity,0.16,138571.5
A00006,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Trust,Fixed Income,0.2218,192072.92
A00006,Ronald Vance,Marcus Ellery,Midwest,High Net Worth,Trust,Cash & Equivalents,0.0655,56691.33
